hour_index,trigger,actual_compute_seconds,baseline_forecast,SARIMAX_forecast,LightGBM_forecast,selected_model,selected_forecast
272,orchestration,923697.1859999998,926817.844,765018.1532892236,839991.2619207612,Historical Hour-of-Day Mean,623591.4478333333
272,others,44572.514,3610355.2990000006,6650318.846986356,1618751.1610043892,Historical Hour-of-Day Mean,17554.05733333333
272,queue,21067121.308,20892436.821,16938373.128412142,19449945.152453493,Historical Hour-of-Day Mean,19284979.825
272,storage,605371.218,271694.208,374237.2952972632,700003.139746346,Historical Hour-of-Day Mean,298385.57300000003
272,timer,1166349.5620000002,1212945.457,1197911.795136163,1215282.213330948,Historical Hour-of-Day Mean,1116797.6591111112
273,event,1882306.811,1450623.0529999998,1885542.675957075,1528702.8369934538,Historical Hour-of-Day Mean,2778672.2901666667
273,http,6412531.309999999,2496483.170000002,3692642.536966161,2758740.587057492,Historical Hour-of-Day Mean,5164695.556337338
273,orchestration,691147.3080000001,828452.9310000001,735488.3047442704,871911.9395222905,Historical Hour-of-Day Mean,719158.3563333334
273,others,29171.351,3498546.64,6455741.465493683,2329174.1140549374,Historical Hour-of-Day Mean,13351.163333333336
273,queue,20216858.216,20823690.048,17117208.460068766,18227586.15734354,Historical Hour-of-Day Mean,19681225.020666663
273,storage,690078.296,401292.852,372116.51042902673,750202.7898907328,Historical Hour-of-Day Mean,296262.53
273,timer,1151218.4850000003,1144340.885,1167216.3097065762,1233030.9946713278,Historical Hour-of-Day Mean,1107063.9274444445
274,event,1914907.367,1444068.688,1878716.803673101,1647987.392452713,Historical Hour-of-Day Mean,3184056.8526666667
274,http,2618658.922,2497209.049705884,3731601.930201176,2472045.9857462547,Historical Hour-of-Day Mean,4317330.723801612
274,orchestration,655505.002,707479.962,712220.3926675846,822066.4559424456,Historical Hour-of-Day Mean,672409.8168333332
274,others,27672.917,3765197.719000001,6947988.884035253,2614902.989054348,Historical Hour-of-Day Mean,25474.717499999995
274,queue,19787340.13,19495598.510999992,17768075.266681932,18291755.00561533,Historical Hour-of-Day Mean,20644072.159333333
274,storage,585340.993,599702.778,369133.8036154565,840960.9009389175,Historical Hour-of-Day Mean,291543.4921666667
274,timer,1157556.7100000002,1165792.3239999998,1182492.1105967658,1183254.842078567,Historical Hour-of-Day Mean,1114860.674111111
275,event,1807752.159,2120539.012999999,1887554.358979032,1849761.1166879197,Historical Hour-of-Day Mean,3107888.8745000004
275,http,3552317.445,2675215.0064117634,3765965.7536587208,2253801.603160097,Historical Hour-of-Day Mean,4319734.323595366
275,orchestration,652946.5360000001,800980.686,733318.9526050178,865091.0975692072,Historical Hour-of-Day Mean,702831.8125
275,others,13386.926,3644141.4020000007,6735452.956629573,3184535.528538425,Historical Hour-of-Day Mean,8749.4585
275,queue,18811072.699,17855361.771999996,17493398.869787537,18203805.92448324,Historical Hour-of-Day Mean,19154499.907166667
275,storage,553952.7099999998,409761.197,371812.1156352917,766962.2644671935,Historical Hour-of-Day Mean,405692.6025
275,timer,1151364.4510000004,1170116.5979999995,1175590.412052811,1198241.7428700605,Historical Hour-of-Day Mean,1108215.0686111113
276,event,2330500.924,1932288.582,1917611.5804985936,1689819.1700761472,Historical Hour-of-Day Mean,3220396.4166666665
276,http,3004097.891999999,3313144.699285711,3798629.472295397,2469573.112023555,Historical Hour-of-Day Mean,4428467.789523444
276,orchestration,752067.9859999999,806403.129,730239.0415529162,891421.7780016572,Historical Hour-of-Day Mean,718247.0393333333
276,others,22968.51299999999,3872550.06,7157158.4628230175,3799586.97198119,Historical Hour-of-Day Mean,12485.08916666667
276,queue,19377497.300999995,19724386.186,17358108.572587226,17831069.84687057,Historical Hour-of-Day Mean,19612614.83283333
276,storage,563372.5609999999,475239.4029999999,370849.8095621116,850569.4006500851,Historical Hour-of-Day Mean,430063.6108333333
276,timer,1202203.946,1230776.478,1228335.291913548,1262359.4008538467,Historical Hour-of-Day Mean,1146898.7049444446
277,event,2521851.901,1893801.167,1915755.5660401213,1779571.6005225985,Historical Hour-of-Day Mean,3549925.667666666
277,http,3181646.426,2991448.4108823547,3819877.5511640566,2546555.601527901,Historical Hour-of-Day Mean,4754018.572635417
277,orchestration,848806.5660000001,745119.8219999999,714760.2895333263,902479.077961922,Historical Hour-of-Day Mean,796191.3533333332
277,others,28174.137999999995,538504.524,1107610.098738714,3664267.6393417297,Historical Hour-of-Day Mean,10273.348999999998
277,queue,19220791.065,20839835.427000016,18185781.14723825,17992612.549142987,Historical Hour-of-Day Mean,21883293.76733333
277,storage,562374.0640000001,433215.679,371400.7374227208,696660.990839125,Historical Hour-of-Day Mean,456406.47866666666
277,timer,1147238.4370000002,1169544.616,1171819.0808384162,1154286.0459121026,Historical Hour-of-Day Mean,1105194.9211111113
278,event,2637938.484,1762015.0510000002,1918717.152701618,1783091.6633209907,Historical Hour-of-Day Mean,3674122.966
278,http,3238885.197999997,2960205.8110000007,3839781.608684746,2599310.2912818883,Historical Hour-of-Day Mean,4300566.923314941
278,orchestration,839094.588,698115.5619999999,699096.8783685096,843954.9301784389,Historical Hour-of-Day Mean,727680.0116666666
278,others,19432.235,5454.312000000001,145285.00470869016,3514109.432294442,Historical Hour-of-Day Mean,35563.56799999999
278,queue,20084674.508999992,18770106.2,18805783.226804964,18476585.60763301,Historical Hour-of-Day Mean,24577134.31633333
278,storage,552450.6990000001,442109.151,371283.05725590896,778513.6114684929,Historical Hour-of-Day Mean,416818.4581607143
278,timer,1161202.2330000002,1170057.0780000002,1184665.527131282,1185852.3860546518,Historical Hour-of-Day Mean,1116155.2786111112
279,event,2495047.7339999992,1741953.2579999997,1928481.5913222732,1775383.1417535783,Historical Hour-of-Day Mean,3739747.304166666
279,http,3089224.521,2801468.712000001,3855520.2139133774,2616914.517861519,Historical Hour-of-Day Mean,4053491.231576955
279,orchestration,1421439.0469999998,947918.509,762441.0633223632,878919.078081968,Historical Hour-of-Day Mean,841170.5236666667
279,others,10764.37,2949.163000000001,146214.29331922918,3645061.5725871054,Historical Hour-of-Day Mean,18890.03983333333
279,queue,21063082.719,18498779.813000005,18360603.457012307,18158203.33188736,Historical Hour-of-Day Mean,22573053.612333328
279,storage,549657.637,469540.867,370892.5842225018,768574.3916555408,Historical Hour-of-Day Mean,357322.8954404762
279,timer,1154963.3880000005,1176165.806999999,1183688.5409367557,1231626.2958909173,Historical Hour-of-Day Mean,1108994.7480555556
280,event,2462803.663,1660531.5639999993,1923081.184236039,1804652.5511519213,Historical Hour-of-Day Mean,3653876.3828333337
280,http,2892523.978000001,2764572.652,3870188.364322359,2577428.857254704,Historical Hour-of-Day Mean,3727964.245333334
280,orchestration,731866.1540000001,1265175.9990000003,845890.395881592,925194.100908216,Historical Hour-of-Day Mean,819218.5948333334
280,others,11869.53,1443.6,148571.61016889874,3497428.247116123,Historical Hour-of-Day Mean,13042.288666666667
280,queue,20177520.416,18221064.140000008,18211299.440824084,18063090.753351152,Historical Hour-of-Day Mean,21314353.31383333
280,storage,591770.5239999999,495283.03900000016,370506.277134477,805024.7972773043,Historical Hour-of-Day Mean,301401.5805
280,timer,1156551.397,1169375.291,1189609.994613574,1168310.215193376,Historical Hour-of-Day Mean,1117695.744777778
281,event,2376126.6779999994,1694245.508,2033331.5711921277,1874900.806114269,Historical Hour-of-Day Mean,4885702.255
281,http,2894089.763,2765361.3379999995,3882606.521424348,2684300.998297378,Historical Hour-of-Day Mean,4110612.662012579
281,orchestration,648509.042,695802.7199999999,701782.3089908705,860256.5703194443,Historical Hour-of-Day Mean,695848.4401666666
